index	verb	tense	aspect	mood	voice	category	source
2	been	PRESENT	PERFECT	INDICATIVE	PASSIVE	voice_passive	Ramm et al. (Europarl)
3	is	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
4	penned	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
5	know	PRESENT	SIMPLE	SUBJUNCTIVE	ACTIVE	mood_subjunctive	Ramm et al. (Europarl)
6	moved-up	PRESENT	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	Ramm et al. (Europarl)
6	appeared	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
7	hit	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
8	headed	PAST	SIMPLE	INDICATIVE	PASSIVE	voice_passive	Ramm et al. (Europarl)
9	headed	PRESENT	SIMPLE	SUBJUNCTIVE	PASSIVE	mood_subjunctive	Ramm et al. (Europarl)
10	languished	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
10	explained	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
10	crossed	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
11	climbed	PRESENT	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	Ramm et al. (Europarl)
12	increase	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
12	crossed	PRESENT	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	Ramm et al. (Europarl)
13	is	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
13	seems	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
14	is	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
15	hit	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
16	was	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
17	is	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
18	justify	PRESENT	SIMPLE	SUBJUNCTIVE	ACTIVE	mood_subjunctive	Ramm et al. (Europarl)
19	is	PRESENT	SIMPLE	INDICATIVE	ACTIVE	tense_present	Ramm et al. (Europarl)
21	claimed	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
22	claimed	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
23	completed	PAST	SIMPLE	INDICATIVE	ACTIVE	tense_past	Ramm et al. (Europarl)
25	lived	FUTURE	PERFECT	INDICATIVE	ACTIVE	aspect_perfect	Ramm et al. (Europarl)
